GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
robozonky-app,com.github.triceo.robozonky.app,StrategyParser,114,245,10,18,9,39,11,10,1,6
robozonky-app,com.github.triceo.robozonky.app,OperatingMode,5,80,0,0,0,10,1,5,1,5
robozonky-app,com.github.triceo.robozonky.app,ReturnCode,5,63,0,0,0,6,1,4,1,4
robozonky-app,com.github.triceo.robozonky.app,CommandLineInterface,25,297,5,13,6,64,5,21,0,17
robozonky-app,com.github.triceo.robozonky.app,AuthenticationHandler,169,53,29,1,37,15,17,6,2,6
robozonky-app,com.github.triceo.robozonky.app,AppContext,11,123,2,2,3,30,5,9,3,9
robozonky-app,com.github.triceo.robozonky.app,App,296,251,34,32,55,71,28,19,3,10
robozonky-app,com.github.triceo.robozonky.app,App.new Object() {...},3,23,0,0,0,1,0,1,0,1
